ind,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply,TotalCoinSupply_orig,sort_orig
42,42 Coin,Scrypt,TRUE,PoW/PoS,41.99995383,42,42.00,1
365,365Coin,X11,TRUE,PoW/PoS,,2300000000,2300000000.00,2
404,404Coin,Scrypt,TRUE,PoW/PoS,1055184902,532000000,532000000.00,3
611,SixEleven,SHA-256,TRUE,PoW,,611000,611000.00,4
808,808,SHA-256,TRUE,PoW/PoS,0,0,0.00,5
1337,EliteCoin,X13,TRUE,PoW/PoS,29279424623,3.14E+11,314000000000.00,6
2015,2015 coin,X11,TRUE,PoW/PoS,,0,0.00,7
BTC,Bitcoin,SHA-256,TRUE,PoW,17927175,21000000,21000000.00,8
ETH,Ethereum,Ethash,TRUE,PoW,107684222.7,0,0.00,9
LTC,Litecoin,Scrypt,TRUE,PoW,63039243.3,84000000,84000000.00,10
DASH,Dash,X11,TRUE,PoW/PoS,9031294.376,22000000,22000000.00,11
XMR,Monero,CryptoNight-V7,TRUE,PoW,17201143.14,0,0.00,12
ETC,Ethereum Classic,Ethash,TRUE,PoW,113359703,210000000,210000000.00,13
ZEC,ZCash,Equihash,TRUE,PoW,7383056.25,21000000,21000000.00,14
BTS,Bitshares,SHA-512,TRUE,PoS,2741570000,3600570502,3600570502.00,15
DGB,DigiByte,Multiple,TRUE,PoW,11406219141,21000000000,21000000000.00,16
BTCD,BitcoinDark,SHA-256,TRUE,PoW/PoS,1288862,22000000,22000000.00,17
CRAIG,CraigsCoin,X11,TRUE,PoS,,30000000,30000000.00,18
XBS,Bitstake,X11,TRUE,PoW/PoS,0,1300000,1300000.00,19
XPY,PayCoin,SHA-256,TRUE,PoS,11995334.88,12500000,12500000.00,20
PRC,ProsperCoin,Scrypt,TRUE,PoW,5768310,21000000,21000000.00,21
YBC,YbCoin,Multiple,TRUE,PoS,,200000000,200000000.00,22
DANK,DarkKush,X13,TRUE,PoW/PoS,,3000000,3000000.00,23
GIVE,GiveCoin,X11,TRUE,PoW,,500000000,500000000.00,24
KOBO,KoboCoin,X15,TRUE,PoW/PoS,25542535.59,350000000,350000000.00,25
DT,DarkToken,NIST5,TRUE,PoW/PoS,,0,0.00,26
CETI,CETUS Coin,Scrypt,TRUE,PoW/PoS,,0,0.00,27
SPR,Spreadcoin,X11,TRUE,PoW,11149734,20000000,20000000.00,28
WOLF,Insanity Coin,X11,TRUE,PoW,,50000000,50000000.00,29
ACOIN,ACoin,SHA-256,TRUE,PoW,0,1600000,1600000.00,30
AERO,Aero Coin,X13,TRUE,PoS,0,7000000,7000000.00,31
ALF,AlphaCoin,Scrypt,TRUE,PoW,,210182000,210182000.00,32
AGS,Aegis,X13,TRUE,PoS,,0,0.00,33
AMC,AmericanCoin,Scrypt,TRUE,PoW,,168000000,168000000.00,34
ALN,AlienCoin,Scrypt,TRUE,PoW,,200000000,200000000.00,35
APEX,ApexCoin,X13,TRUE,PoW/PoS,0,6000000,6000000.00,36
ARCH,ArchCoin,Scrypt,TRUE,PoS,0,16403135,16403135.00,37
ARG,Argentum,Scrypt,TRUE,PoW,12205795.44,64000000,64000000.00,38
ARI,AriCoin,Scrypt,TRUE,PoW,,322649400,322649400.00,39
AUR,Aurora Coin,Scrypt,TRUE,PoW/PoS,18135099.99,16768584,16768584.00,40
BET,BetaCoin,SHA-256,TRUE,PoW,0,32000000,32000000.00,41
BEAN,BeanCash,SHA-256,TRUE,PoW/PoS,,50000000000,50000000000.00,42
BLU,BlueCoin,Scrypt,TRUE,PoW/PoS,635423900,0,0.00,43
BQC,BQCoin,Scrypt,TRUE,PoW,,88000000,88000000.00,44
XMY,MyriadCoin,Multiple,TRUE,PoW,1688254250,2000000000,2000000000.00,45
MOON,MoonCoin,Scrypt,TRUE,PoW,88,3.84E+11,384000000000.00,46
ZET,ZetaCoin,SHA-256,TRUE,PoW,170204389.8,169795588,169795588.00,47
SXC,SexCoin,Scrypt,TRUE,PoW,128940951.2,250000000,250000000.00,48
QTL,Quatloo,Scrypt,TRUE,PoW,7357794.793,100000000,100000000.00,49
ENRG,EnergyCoin,Scrypt,TRUE,PoW/PoS,123062801.1,0,0.00,50
QRK,QuarkCoin,Quark,TRUE,PoW,259557164.9,247000000,247000000.00,51
RIC,Riecoin,Groestl,TRUE,PoW,49548585.14,84000000,84000000.00,52
DGC,Digitalcoin ,Scrypt,TRUE,PoW,33442988.34,48166000,48166000.00,53
LIMX,LimeCoinX,X11,TRUE,PoW,0,21000000,21000000.00,54
BTB,BitBar,Scrypt,TRUE,PoW/PoS,42579.4769,500000,500000.00,55
CAIX,CAIx,Scrypt,TRUE,PoS,,0,0.00,56
BTMK,BitMark,Scrypt,TRUE,PoW,0,27580000,27580000.00,57
BUK,CryptoBuk,Scrypt,TRUE,PoW/PoS,,100000000,100000000.00,58
CACH,Cachecoin,Scrypt,TRUE,PoW,,2000000000,2000000000.00,59
CAP,BottleCaps,Scrypt,TRUE,PoW/PoS,,47433600,47433600.00,60
CASH,CashCoin,Scrypt,TRUE,PoW/PoS,0,47433600,47433600.00,61
CAT,Catcoin,Scrypt,TRUE,PoW,7219956.646,21000000,21000000.00,62
CBX,CryptoBullion,Scrypt,TRUE,PoW/PoS,1039116.651,1000000,1000000.00,63
CCN,CannaCoin,Scrypt,TRUE,PoW,4703879.518,13140000,13140000.00,64
CIN,CinderCoin,Multiple,TRUE,PoW/PoS,0,114000000,114000000.00,65
CINNI,CINNICOIN,Scrypt,TRUE,PoW,,15000000,15000000.00,66
CLR,CopperLark,SHA-256,TRUE,PoW,,27200000,27200000.00,67
CMC,CosmosCoin,Scrypt,TRUE,PoW/PoS,,100000000,100000000.00,68
CNC,ChinaCoin,Scrypt,TRUE,PoW,,462500000,462500000.00,69
CNL,ConcealCoin,X11,TRUE,PoW,,8500000,8500000.00,70
COMM,Community Coin,Scrypt,TRUE,PoW/PoS,,1000000000,1000000000.00,71
COOL,CoolCoin,Scrypt,TRUE,PoS,0,100000000,100000000.00,72
CRACK,CrackCoin,X11,TRUE,PoW,,6000000,6000000.00,73
